REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Alabama,Season 2023-24 ,202.0,25.0,6.0,5.0,0.0,13.0,0.0,0.0
States,Alaska,Season 2023-24 ,45.0,6.0,1.0,3.0,3.0,0.0,0.0,0.0
States,Arizona,Season 2023-24 ,2484.0,481.0,92.0,9.0,3.0,151.0,0.0,0.0
States,Arkansas,Season 2023-24 ,1339.0,45.0,191.0,200.0,6.0,36.0,0.0,0.0
States,California,Season 2023-24 ,5092.0,1333.0,371.0,124.0,83.0,170.0,0.0,0.0
States,Colorado,Season 2023-24 ,835.0,288.0,179.0,8.0,12.0,251.0,0.0,0.0
States,Connecticut,Season 2023-24 ,2469.0,523.0,289.0,80.0,3.0,72.0,0.0,0.0
States,Delaware,Season 2023-24 ,1602.0,296.0,138.0,69.0,21.0,146.0,0.0,0.0
States,District of Columbia,Season 2023-24 ,1316.0,368.0,251.0,28.0,3.0,148.0,0.0,0.0
States,Florida,Season 2023-24 ,1874.0,639.0,252.0,25.0,11.0,348.0,0.0,0.0
States,Georgia,Season 2023-24 ,2620.0,417.0,217.0,498.0,5.0,279.0,0.0,0.0
States,Hawaii,Season 2023-24 ,1352.0,286.0,126.0,14.0,4.0,85.0,0.0,0.0
States,Idaho,Season 2023-24 ,725.0,321.0,54.0,13.0,3.0,179.0,0.0,0.0
States,Illinois,Season 2023-24 ,3425.0,174.0,84.0,142.0,39.0,88.0,0.0,0.0
States,Indiana,Season 2023-24 ,295.0,45.0,57.0,3.0,1.0,50.0,0.0,0.0
States,Iowa,Season 2023-24 ,637.0,189.0,162.0,13.0,8.0,214.0,0.0,0.0
States,Kansas,Season 2023-24 ,295.0,11.0,11.0,8.0,3.0,15.0,0.0,0.0
States,Kentucky,Season 2023-24 ,888.0,232.0,154.0,0.0,1.0,160.0,0.0,0.0
States,Louisiana,Season 2023-24 ,2383.0,184.0,13.0,12.0,17.0,140.0,0.0,0.0
States,Maine,Season 2023-24 ,716.0,504.0,83.0,3.0,1.0,81.0,0.0,0.0
States,Maryland,Season 2023-24 ,611.0,14.0,15.0,58.0,161.0,10.0,0.0,0.0
States,Massachusetts,Season 2023-24 ,797.0,341.0,177.0,4.0,5.0,1.0,0.0,0.0
States,Michigan,Season 2023-24 ,1470.0,456.0,216.0,3.0,10.0,157.0,0.0,0.0
States,Minnesota,Season 2023-24 ,2638.0,886.0,405.0,378.0,46.0,411.0,0.0,0.0
States,Mississippi,Season 2023-24 ,189.0,3.0,0.0,50.0,4.0,15.0,0.0,0.0
States,Missouri,Season 2023-24 ,734.0,228.0,87.0,20.0,1.0,36.0,0.0,0.0
States,Montana,Season 2023-24 ,514.0,158.0,127.0,1.0,1.0,141.0,0.0,0.0
States,Nebraska,Season 2023-24 ,505.0,59.0,17.0,22.0,21.0,92.0,0.0,0.0
States,Nevada,Season 2023-24 ,8146.0,299.0,100.0,1479.0,493.0,123.0,0.0,0.0
States,New Hampshire,Season 2023-24 ,1430.0,488.0,115.0,147.0,14.0,26.0,0.0,0.0
States,New Jersey,Season 2023-24 ,524.0,143.0,56.0,12.0,24.0,3.0,0.0,0.0
States,New Mexico,Season 2023-24 ,2002.0,428.0,122.0,12.0,4.0,230.0,0.0,0.0
States,New York,Season 2023-24 ,8303.0,520.0,167.0,273.0,48.0,65.0,0.0,0.0
States,North Carolina,Season 2023-24 ,394.0,137.0,20.0,5.0,0.0,29.0,0.0,0.0
States,North Dakota,Season 2023-24 ,568.0,198.0,73.0,7.0,4.0,154.0,0.0,0.0
States,Ohio,Season 2023-24 ,855.0,424.0,223.0,1.0,3.0,150.0,0.0,0.0
States,Oklahoma,Season 2023-24 ,230.0,7.0,8.0,1.0,0.0,6.0,0.0,0.0
States,Oregon,Season 2023-24 ,4034.0,212.0,61.0,27.0,7.0,92.0,0.0,0.0
States,Pennsylvania,Season 2023-24 ,16424.0,467.0,143.0,47.0,11.0,125.0,0.0,0.0
States,Rhode Island,Season 2023-24 ,3203.0,176.0,43.0,248.0,31.0,77.0,0.0,0.0
States,South Carolina,Season 2023-24 ,865.0,268.0,28.0,23.0,17.0,246.0,0.0,0.0
States,South Dakota,Season 2023-24 ,560.0,128.0,115.0,30.0,11.0,209.0,0.0,0.0
States,Tennessee,Season 2023-24 ,445.0,51.0,52.0,5.0,3.0,65.0,0.0,0.0
States,Texas,Season 2023-24 ,2280.0,296.0,124.0,6.0,6.0,284.0,0.0,0.0
States,Utah,Season 2023-24 ,1024.0,343.0,140.0,0.0,1.0,215.0,0.0,0.0
States,Vermont,Season 2023-24 ,377.0,179.0,98.0,12.0,1.0,27.0,0.0,0.0
States,Virginia,Season 2023-24 ,995.0,149.0,64.0,6.0,1.0,45.0,0.0,0.0
States,Washington,Season 2023-24 ,1302.0,263.0,46.0,30.0,8.0,29.0,0.0,0.0
States,West Virginia,Season 2023-24 ,837.0,302.0,178.0,9.0,14.0,209.0,0.0,0.0
States,Wisconsin,Season 2023-24 ,2246.0,418.0,235.0,28.0,8.0,153.0,0.0,0.0
States,Wyoming,Season 2023-24 ,576.0,38.0,7.0,39.0,19.0,23.0,0.0,0.0
States,Puerto Rico,Season 2023-24 ,382.0,181.0,22.0,3.0,0.0,52.0,0.0,0.0
