PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2023,40,X,2.386,X,X,X,X,X,X,1024,106,42917
States,Alaska,2023,40,X,3.46432,X,X,X,X,X,X,134,12,3868
States,Arizona,2023,40,X,1.93528,X,X,X,X,X,X,1446,122,74718
States,Arkansas,2023,40,X,1.5546,X,X,X,X,X,X,252,52,16210
States,California,2023,40,X,2.8034,X,X,X,X,X,X,6790,204,242206
States,Colorado,2023,40,X,2.10362,X,X,X,X,X,X,981,97,46634
States,Connecticut,2023,40,X,1.7989,X,X,X,X,X,X,787,69,43749
States,Delaware,2023,40,X,0.975953,X,X,X,X,X,X,125,23,12808
States,District of Columbia,2023,40,X,4.02926,X,X,X,X,X,X,303,7,7520
States,Florida,2023,40,X,3.90749,X,X,X,X,X,X,9918,359,253820
States,Georgia,2023,40,X,3.36915,X,X,X,X,X,X,2875,102,85333
States,Hawaii,2023,40,X,2.76912,X,X,X,X,X,X,951,43,34343
States,Idaho,2023,40,X,0.913775,X,X,X,X,X,X,94,31,10287
States,Illinois,2023,40,X,1.45023,X,X,X,X,X,X,1104,177,76126
States,Indiana,2023,40,X,1.66458,X,X,X,X,X,X,1263,160,75875
States,Iowa,2023,40,X,0.618238,X,X,X,X,X,X,36,15,5823
States,Kansas,2023,40,X,0.813008,X,X,X,X,X,X,160,36,19680
States,Kentucky,2023,40,X,1.38472,X,X,X,X,X,X,503,87,36325
States,Louisiana,2023,40,X,2.33067,X,X,X,X,X,X,1011,87,43378
States,Maine,2023,40,X,0.75643,X,X,X,X,X,X,120,52,15864
States,Maryland,2023,40,X,2.38418,X,X,X,X,X,X,1159,69,48612
States,Massachusetts,2023,40,X,1.34589,X,X,X,X,X,X,1208,105,89755
States,Michigan,2023,40,X,1.01287,X,X,X,X,X,X,1469,284,145033
States,Minnesota,2023,40,X,0.729254,X,X,X,X,X,X,261,73,35790
States,Mississippi,2023,40,X,3.00762,X,X,X,X,X,X,434,30,14430
States,Missouri,2023,40,X,1.29875,X,X,X,X,X,X,365,41,28104
States,Montana,2023,40,X,0.664697,X,X,X,X,X,X,45,28,6770
States,Nebraska,2023,40,X,1.8404,X,X,X,X,X,X,250,92,13584
States,Nevada,2023,40,X,1.76274,X,X,X,X,X,X,785,66,44533
States,New Hampshire,2023,40,X,0.332188,X,X,X,X,X,X,29,21,8730
States,New Jersey,2023,40,X,3.1924,X,X,X,X,X,X,974,32,30510
States,New Mexico,2023,40,X,3.26676,X,X,X,X,X,X,705,39,21581
States,New York,2023,40,X,1.61437,X,X,X,X,X,X,993,120,61510
States,North Carolina,2023,40,X,1.61481,X,X,X,X,X,X,1517,142,93943
States,North Dakota,2023,40,X,0.772201,X,X,X,X,X,X,18,11,2331
States,Ohio,2023,40,X,1.76328,X,X,X,X,X,X,671,71,38054
States,Oklahoma,2023,40,X,0.895349,X,X,X,X,X,X,170,31,18987
States,Oregon,2023,40,X,1.12201,X,X,X,X,X,X,461,89,41087
States,Pennsylvania,2023,40,X,1.07899,X,X,X,X,X,X,761,101,70529
States,Rhode Island,2023,40,X,1.05621,X,X,X,X,X,X,149,24,14107
States,South Carolina,2023,40,X,2.40268,X,X,X,X,X,X,766,38,31881
States,South Dakota,2023,40,X,0.807715,X,X,X,X,X,X,67,31,8295
States,Tennessee,2023,40,X,2.207,X,X,X,X,X,X,773,100,35025
States,Texas,2023,40,X,3.46579,X,X,X,X,X,X,1726,51,49801
States,Utah,2023,40,X,1.21488,X,X,X,X,X,X,227,47,18685
States,Vermont,2023,40,X,0.597882,X,X,X,X,X,X,35,11,5854
States,Virginia,2023,40,X,2.61894,X,X,X,X,X,X,3021,180,115352
States,Washington,2023,40,X,1.05265,X,X,X,X,X,X,811,109,77044
States,West Virginia,2023,40,X,1.9527,X,X,X,X,X,X,270,46,13827
States,Wisconsin,2023,40,X,1.16517,X,X,X,X,X,X,359,66,30811
States,Wyoming,2023,40,X,3.14594,X,X,X,X,X,X,108,17,3433
States,Commonwealth of the Northern Mariana Islands,2023,40,X,X,X,X,X,X,X,X,X,X,X
States,Puerto Rico,2023,40,X,7.11921,X,X,X,X,X,X,129,5,1812
States,Virgin Islands,2023,40,X,2.35602,X,X,X,X,X,X,27,4,1146
States,New York City,2023,40,X,4.54167,X,X,X,X,X,X,5510,105,121321
States,Alabama,2023,41,X,2.46835,X,X,X,X,X,X,1045,108,42336
States,Alaska,2023,41,X,4.56913,X,X,X,X,X,X,193,12,4224
States,Arizona,2023,41,X,1.83472,X,X,X,X,X,X,1331,120,72545
States,Arkansas,2023,41,X,1.87232,X,X,X,X,X,X,293,48,15649
States,California,2023,41,X,2.68133,X,X,X,X,X,X,7433,211,277213
States,Colorado,2023,41,X,2.36711,X,X,X,X,X,X,1156,97,48836
States,Connecticut,2023,41,X,1.6177,X,X,X,X,X,X,685,69,42344
States,Delaware,2023,41,X,0.90978,X,X,X,X,X,X,120,23,13190
States,District of Columbia,2023,41,X,4.18207,X,X,X,X,X,X,328,7,7843
States,Florida,2023,41,X,4.04913,X,X,X,X,X,X,10289,359,254104
States,Georgia,2023,41,X,3.66196,X,X,X,X,X,X,2934,103,80121
States,Hawaii,2023,41,X,2.90107,X,X,X,X,X,X,917,43,31609
States,Idaho,2023,41,X,0.850735,X,X,X,X,X,X,88,31,10344
States,Illinois,2023,41,X,1.54895,X,X,X,X,X,X,1093,174,70564
States,Indiana,2023,41,X,1.742,X,X,X,X,X,X,1246,159,71527
States,Iowa,2023,41,X,1.25408,X,X,X,X,X,X,73,15,5821
States,Kansas,2023,41,X,0.883721,X,X,X,X,X,X,171,36,19350
States,Kentucky,2023,41,X,1.38576,X,X,X,X,X,X,517,89,37308
States,Louisiana,2023,41,X,2.47639,X,X,X,X,X,X,1049,87,42360
States,Maine,2023,41,X,0.996232,X,X,X,X,X,X,156,52,15659
States,Maryland,2023,41,X,2.37142,X,X,X,X,X,X,1131,69,47693
States,Massachusetts,2023,41,X,1.29241,X,X,X,X,X,X,1124,104,86969
States,Michigan,2023,41,X,1.07855,X,X,X,X,X,X,1529,284,141764
States,Minnesota,2023,41,X,0.927501,X,X,X,X,X,X,338,74,36442
States,Mississippi,2023,41,X,3.05499,X,X,X,X,X,X,450,31,14730
States,Missouri,2023,41,X,1.38578,X,X,X,X,X,X,390,41,28143
States,Montana,2023,41,X,0.663683,X,X,X,X,X,X,43,28,6479
States,Nebraska,2023,41,X,2.00765,X,X,X,X,X,X,320,92,15939
States,Nevada,2023,41,X,1.85901,X,X,X,X,X,X,842,65,45293
States,New Hampshire,2023,41,X,0.348028,X,X,X,X,X,X,30,22,8620
States,New Jersey,2023,41,X,3.59884,X,X,X,X,X,X,980,31,27231
States,New Mexico,2023,41,X,3.3071,X,X,X,X,X,X,706,39,21348
States,New York,2023,41,X,1.53101,X,X,X,X,X,X,907,123,59242
States,North Carolina,2023,41,X,1.74376,X,X,X,X,X,X,1613,144,92501
States,North Dakota,2023,41,X,1.78971,X,X,X,X,X,X,40,10,2235
States,Ohio,2023,41,X,2.03954,X,X,X,X,X,X,784,74,38440
States,Oklahoma,2023,41,X,0.870059,X,X,X,X,X,X,199,32,22872
States,Oregon,2023,41,X,1.1611,X,X,X,X,X,X,472,89,40651
States,Pennsylvania,2023,41,X,0.997093,X,X,X,X,X,X,662,100,66393
States,Rhode Island,2023,41,X,1.00802,X,X,X,X,X,X,132,23,13095
States,South Carolina,2023,41,X,2.47716,X,X,X,X,X,X,797,39,32174
