PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2023,40,2.29251,2.25907,13511,13430,X,18994,5290,5052,56277,4126,2491154
National,X,2023,41,2.32301,2.30946,14403,13938,X,18523,5428,5088,57380,4144,2484565
National,X,2023,42,2.5435,2.51468,15712,14455,X,20287,5812,6187,62453,4130,2483537
National,X,2023,43,2.73103,2.67941,16971,15452,X,22354,6072,6700,67549,4155,2521041
National,X,2023,44,2.97136,2.9119,17784,16573,X,24733,6335,6687,72112,4149,2476458
National,X,2023,45,3.43918,3.32489,21454,19306,X,29393,7423,7741,85317,4145,2566012
National,X,2023,46,3.72224,3.57185,22011,21538,X,30763,8074,8411,90797,4148,2542013
National,X,2023,47,3.9642,3.78818,22379,20377,X,25918,8365,8408,85447,4161,2255620
National,X,2023,48,4.0656,3.95926,22624,28320,X,30290,11121,11193,103548,4134,2615337
National,X,2023,49,4.42349,4.35412,23342,28996,X,38072,12182,11359,113951,4097,2617085
National,X,2023,50,5.23015,5.2067,26060,34987,X,48218,13983,12561,135809,4111,2608352
National,X,2023,51,6.29282,6.31029,29750,45227,X,53426,18090,16604,163097,4082,2584619
National,X,2023,52,6.8564,6.90448,31461,50010,X,41750,21678,21694,166593,4074,2412825
National,X,2024,1,5.77014,5.76312,24655,46988,X,32258,20517,19362,143780,4098,2494831
National,X,2024,2,4.71446,4.75456,18115,37047,X,31337,16378,15370,118247,4094,2487021
National,X,2024,3,4.37864,4.35214,16144,30545,X,29092,12622,11542,99945,4104,2296454
National,X,2024,4,4.2933,4.22525,16212,31770,X,34316,12481,10636,105415,4130,2494881
National,X,2024,5,4.47314,4.28075,17241,30380,X,38458,11582,10031,107692,4108,2515727
National,X,2024,6,4.51264,4.40137,17947,31574,X,41689,11533,10035,112778,4114,2562337
National,X,2024,7,4.40637,4.33728,17377,30736,X,38848,11228,9949,108138,4098,2493220
National,X,2024,8,4.38121,4.32051,17636,31213,X,36967,11314,10156,107286,4091,2483177
National,X,2024,9,4.10176,4.08014,17319,30520,X,35834,11034,9901,104608,4089,2563831
National,X,2024,10,3.75122,3.72927,16477,26559,X,32939,9683,8809,94467,4092,2533121
National,X,2024,11,3.43764,3.39967,15859,23654,X,29046,8449,7724,84732,4027,2492358
National,X,2024,12,3.11081,3.14917,15074,21956,X,26353,7800,7097,78280,4074,2485731
National,X,2024,13,2.99548,3.02542,14297,21063,X,23095,7419,6988,72862,4048,2408329
National,X,2024,14,2.76464,2.81362,13310,19403,X,19347,6847,6430,65337,3831,2322168
