AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2023-24,40,5.7,5.4,,5.8,7.3,28,"3,324","1,397","4,223","57,971",> 100%
National,,All,2023-24,41,5.8,5.5,,5.9,7.3,36,"3,434","1,311","4,265","58,343",> 100%
National,,All,2023-24,42,5.9,5.6,,5.9,7.4,53,"3,387","1,391","4,309","58,435",> 100%
National,,All,2023-24,43,6,5.7,,6.1,7.5,47,"3,525","1,288","4,367","58,399",> 100%
National,,All,2023-24,44,6.1,5.8,,5.8,7.1,61,"3,340","1,245","4,204","58,881",> 100%
National,,All,2023-24,45,6.2,5.9,,6.2,7.7,73,"3,671","1,388","4,615","60,215",> 100%
National,,All,2023-24,46,6.3,6,,6.2,7.7,80,"3,638","1,427","4,609","59,634",> 100%
National,,All,2023-24,47,6.4,6.1,,6.4,7.8,113,"3,684","1,415","4,647","59,260",> 100%
National,,All,2023-24,48,6.5,6.2,,6.9,8.6,156,"4,086","1,721","5,332","61,888",> 100%
National,,All,2023-24,49,6.6,6.3,,7,8.8,202,"4,205","1,785","5,551","63,220",> 100%
National,,All,2023-24,50,6.7,6.4,,7.1,8.9,278,"4,174","1,834","5,578","62,607",> 100%
National,,All,2023-24,51,6.8,6.5,,7.4,9.2,446,"4,301","1,926","5,934","64,222",> 100%
National,,All,2023-24,52,6.9,6.6,,8.2,10.3,685,"4,652","2,211","6,673","65,046",> 100%
National,,All,2023-24,1,7,6.7,,9.1,11.3,886,"5,143","2,469","7,504","66,613",> 100%
National,,All,2023-24,2,7.1,6.7,,8.9,11.1,834,"5,206","2,555","7,525","67,675",> 100%
National,,All,2023-24,3,7.1,6.8,,8.4,10.5,701,"4,888","2,332","6,974","66,228",> 100%
National,,All,2023-24,4,7.2,6.8,,8.2,10.1,594,"4,776","2,099","6,638","65,480",> 100%
National,,All,2023-24,5,7.2,6.9,,7.5,9.1,521,"4,132","1,711","5,664","62,055",> 100%
National,,All,2023-24,6,7.2,6.9,,7.4,8.9,434,"4,084","1,563","5,431","61,316",> 100%
National,,All,2023-24,7,7.3,6.9,,7.2,8.5,432,"3,861","1,348","5,095","59,850",> 100%
National,,All,2023-24,8,7.3,6.9,,7,8.2,397,"3,789","1,269","4,926","59,827",> 100%
National,,All,2023-24,9,7.2,6.9,,7.2,8.4,381,"3,848","1,215","4,939","58,951",> 100%
National,,All,2023-24,10,7.2,6.9,,6.9,8,379,"3,592","1,030","4,588","57,597",> 100%
National,,All,2023-24,11,7.2,6.8,,6.6,7.6,292,"3,343",961,"4,221","55,217",> 100%
National,,All,2023-24,12,7.1,6.8,,6.5,7.4,213,"3,034",715,"3,655","49,607",> 100%
National,,All,2023-24,13,7.1,6.7,,6.4,7.1,168,"2,382",475,"2,830","40,121",84.3%
National,,All,2023-24,14,7,6.6,,6,6.7,87,"1,314",266,"1,559","23,320",49%
