AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2023-24,40,,4.6,5.9,0,48,21,62,"1,050",> 100%
State,Alabama,All,2023-24,41,,5.5,6.8,0,60,20,74,"1,094",> 100%
State,Alabama,All,2023-24,42,,4.5,5.5,0,47,14,57,"1,043",> 100%
State,Alabama,All,2023-24,43,,5,5.4,1,53,8,59,"1,085",> 100%
State,Alabama,All,2023-24,44,,4.7,6.2,1,52,20,69,"1,121",> 100%
State,Alabama,All,2023-24,45,,5.5,6.7,1,59,19,73,"1,089",> 100%
State,Alabama,All,2023-24,46,,7,7.7,5,73,18,86,"1,113",> 100%
State,Alabama,All,2023-24,47,,4.3,5.3,1,47,13,59,"1,105",> 100%
State,Alabama,All,2023-24,48,,6.2,7.9,2,69,26,90,"1,140",> 100%
State,Alabama,All,2023-24,49,,5.5,6.7,4,64,22,84,"1,245",> 100%
State,Alabama,All,2023-24,50,,6.7,8.1,6,76,29,99,"1,228",> 100%
State,Alabama,All,2023-24,51,,6,7.9,14,62,34,101,"1,276",> 100%
State,Alabama,All,2023-24,52,,8.1,10,25,78,36,128,"1,275",> 100%
State,Alabama,All,2023-24,1,,8.6,10.2,23,89,31,132,"1,296",> 100%
State,Alabama,All,2023-24,2,,7.7,10.2,19,82,49,133,"1,307",> 100%
State,Alabama,All,2023-24,3,,7.1,9.4,8,83,43,120,"1,280",> 100%
State,Alabama,All,2023-24,4,,7.9,9.4,12,93,34,126,"1,334",> 100%
State,Alabama,All,2023-24,5,,7,9.2,8,74,39,109,"1,179",> 100%
State,Alabama,All,2023-24,6,,5.7,7.2,6,63,27,87,"1,206",> 100%
State,Alabama,All,2023-24,7,,6.3,7.5,5,65,19,83,"1,103",> 100%
State,Alabama,All,2023-24,8,,7.1,7.8,5,72,24,84,"1,081",> 100%
State,Alabama,All,2023-24,9,,6.1,7.5,4,60,26,79,"1,049",> 100%
State,Alabama,All,2023-24,10,,6.3,7.8,7,59,22,82,"1,048",> 100%
State,Alabama,All,2023-24,11,,5.3,6.6,3,49,18,65,988,> 100%
State,Alabama,All,2023-24,12,,5.4,6,2,46,12,53,884,> 100%
State,Alabama,All,2023-24,13,,6.5,7.8,1,42,11,51,657,97.7%
State,Alabama,All,2023-24,14,,5.6,6.2,1,17,3,20,323,48%
State,Alaska,All,2023-24,40,,4.6,7.3,1,4,3,8,109,> 100%
State,Alaska,All,2023-24,41,,6.1,7.9,2,5,4,9,114,> 100%
State,Alaska,All,2023-24,42,,7.8,8.8,0,8,1,9,102,> 100%
State,Alaska,All,2023-24,43,,6.5,8.4,1,6,2,9,107,> 100%
State,Alaska,All,2023-24,44,,9.8,12.7,6,4,4,13,102,> 100%
State,Alaska,All,2023-24,45,,6,6,2,6,0,8,133,> 100%
State,Alaska,All,2023-24,46,,6,8.6,3,4,3,10,116,> 100%
State,Alaska,All,2023-24,47,,2.6,2.6,1,2,0,3,114,> 100%
State,Alaska,All,2023-24,48,,4.7,4.7,1,4,0,5,107,> 100%
State,Alaska,All,2023-24,49,,4,4,0,4,0,4,99,> 100%
State,Alaska,All,2023-24,50,,4.8,4.8,0,5,1,5,104,> 100%
State,Alaska,All,2023-24,51,,0,1.9,0,0,2,2,105,> 100%
State,Alaska,All,2023-24,52,,4.8,4.8,1,5,0,6,124,> 100%
State,Alaska,All,2023-24,1,,3.8,3.8,0,4,0,4,104,> 100%
State,Alaska,All,2023-24,2,,7.7,8.5,1,8,1,10,117,> 100%
State,Alaska,All,2023-24,3,,8.4,11.2,1,8,4,12,107,> 100%
State,Alaska,All,2023-24,4,,5.2,5.2,1,5,2,6,116,> 100%
State,Alaska,All,2023-24,5,,2.6,4.4,0,3,3,5,114,> 100%
State,Alaska,All,2023-24,6,,5.8,6.7,1,6,1,8,120,> 100%
State,Alaska,All,2023-24,7,,8.7,10.4,0,10,3,12,115,> 100%
State,Alaska,All,2023-24,8,,4,6.1,0,4,2,6,99,> 100%
State,Alaska,All,2023-24,9,,7.5,7.5,0,7,2,7,93,> 100%
State,Alaska,All,2023-24,10,,3,6,0,2,3,4,67,> 100%
State,Alaska,All,2023-24,11,,6.4,9,1,4,2,7,78,> 100%
State,Alaska,All,2023-24,12,,3.7,3.7,1,1,1,2,54,92.6%
State,Alaska,All,2023-24,13,,0,3.8,0,0,1,1,26,44.6%
State,Alaska,All,2023-24,14,,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2023-24,40,,5.3,6.7,1,67,27,87,"1,295",> 100%
State,Arizona,All,2023-24,41,,5.8,7.2,0,74,29,91,"1,270",> 100%
State,Arizona,All,2023-24,42,,5.4,7.2,3,66,39,92,"1,286",> 100%
State,Arizona,All,2023-24,43,,5.1,7,0,64,35,88,"1,259",> 100%
State,Arizona,All,2023-24,44,,4.8,6.2,1,61,28,79,"1,282",> 100%
State,Arizona,All,2023-24,45,,5.1,6.4,1,65,30,84,"1,303",> 100%
State,Arizona,All,2023-24,46,,6.5,7.6,4,82,26,101,"1,333",> 100%
State,Arizona,All,2023-24,47,,6.3,7.4,4,76,36,95,"1,278",> 100%
State,Arizona,All,2023-24,48,,6.1,7.8,3,80,37,106,"1,352",> 100%
