MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,WEEKLY RATE,WEEK DATA,AGE DATA
2023,40,Overall,Male,Overall,0.2,10/7/2023,0
2023,40,Overall,Female,Overall,0.2,10/7/2023,0
2023,40,Overall,Overall,White,0.2,10/7/2023,0
2023,40,Overall,Overall,Black,0.3,10/7/2023,0
2023,40,Overall,Overall,Hispanic/Latino,0.2,10/7/2023,0
2023,40,Overall,Overall,Asian/Pacific Islander,0.3,10/7/2023,0
2023,40,Overall,Overall,American Indian/Alaska Native,0,10/7/2023,0
2023,40,Overall,Overall,Overall,0.2,10/7/2023,1
2023,41,Overall,Overall,Black,0.2,10/14/2023,0
2023,41,Overall,Overall,Hispanic/Latino,0.2,10/14/2023,0
2023,41,Overall,Overall,Asian/Pacific Islander,0.1,10/14/2023,0
2023,41,Overall,Overall,American Indian/Alaska Native,1.6,10/14/2023,0
2023,41,Overall,Overall,Overall,0.2,10/14/2023,1
2023,41,Overall,Female,Overall,0.2,10/14/2023,0
2023,41,Overall,Male,Overall,0.3,10/14/2023,0
2023,41,Overall,Overall,White,0.2,10/14/2023,0
2023,42,Overall,Male,Overall,0.2,10/21/2023,0
2023,42,Overall,Female,Overall,0.3,10/21/2023,0
2023,42,Overall,Overall,White,0.2,10/21/2023,0
2023,42,Overall,Overall,Black,0.4,10/21/2023,0
2023,42,Overall,Overall,Hispanic/Latino,0.3,10/21/2023,0
2023,42,Overall,Overall,Asian/Pacific Islander,0.1,10/21/2023,0
2023,42,Overall,Overall,American Indian/Alaska Native,0,10/21/2023,0
2023,42,Overall,Overall,Overall,0.3,10/21/2023,1
2023,43,Overall,Female,Overall,0.3,10/28/2023,0
2023,43,Overall,Male,Overall,0.2,10/28/2023,0
2023,43,Overall,Overall,White,0.2,10/28/2023,0
2023,43,Overall,Overall,Black,0.4,10/28/2023,0
2023,43,Overall,Overall,Hispanic/Latino,0.4,10/28/2023,0
2023,43,Overall,Overall,Asian/Pacific Islander,0.3,10/28/2023,0
2023,43,Overall,Overall,American Indian/Alaska Native,0,10/28/2023,0
2023,43,Overall,Overall,Overall,0.2,10/28/2023,1
2023,44,Overall,Male,Overall,0.4,11/4/2023,0
2023,44,Overall,Female,Overall,0.5,11/4/2023,0
2023,44,Overall,Overall,White,0.3,11/4/2023,0
2023,44,Overall,Overall,Black,0.7,11/4/2023,0
2023,44,Overall,Overall,Hispanic/Latino,0.5,11/4/2023,0
2023,44,Overall,Overall,Asian/Pacific Islander,0.4,11/4/2023,0
2023,44,Overall,Overall,American Indian/Alaska Native,0.5,11/4/2023,0
2023,44,Overall,Overall,Overall,0.5,11/4/2023,1
2023,45,Overall,Overall,White,0.5,11/11/2023,0
2023,45,Overall,Overall,Black,1.4,11/11/2023,0
2023,45,Overall,Overall,Hispanic/Latino,0.9,11/11/2023,0
2023,45,Overall,Overall,Asian/Pacific Islander,0.6,11/11/2023,0
2023,45,Overall,Overall,American Indian/Alaska Native,1.6,11/11/2023,0
2023,45,Overall,Overall,Overall,0.8,11/11/2023,1
2023,45,Overall,Male,Overall,0.8,11/11/2023,0
2023,45,Overall,Female,Overall,0.7,11/11/2023,0
2023,46,Overall,Male,Overall,0.9,11/18/2023,0
2023,46,Overall,Female,Overall,1,11/18/2023,0
2023,46,Overall,Overall,White,0.6,11/18/2023,0
2023,46,Overall,Overall,Black,1.8,11/18/2023,0
2023,46,Overall,Overall,Hispanic/Latino,1.1,11/18/2023,0
2023,46,Overall,Overall,Asian/Pacific Islander,0.7,11/18/2023,0
2023,46,Overall,Overall,American Indian/Alaska Native,0.5,11/18/2023,0
2023,46,Overall,Overall,Overall,0.9,11/18/2023,1
2023,47,Overall,Overall,White,1.1,11/25/2023,0
2023,47,Overall,Overall,Black,2.3,11/25/2023,0
2023,47,Overall,Overall,Hispanic/Latino,1.2,11/25/2023,0
2023,47,Overall,Female,Overall,1.4,11/25/2023,0
2023,47,Overall,Male,Overall,1.3,11/25/2023,0
2023,47,Overall,Overall,Asian/Pacific Islander,0.8,11/25/2023,0
2023,47,Overall,Overall,American Indian/Alaska Native,1.1,11/25/2023,0
2023,47,Overall,Overall,Overall,1.4,11/25/2023,1
2023,48,Overall,Overall,White,1.5,12/2/2023,0
2023,48,Overall,Overall,Black,3.7,12/2/2023,0
2023,48,Overall,Overall,Hispanic/Latino,2.1,12/2/2023,0
2023,48,Overall,Overall,Asian/Pacific Islander,1.8,12/2/2023,0
2023,48,Overall,Overall,American Indian/Alaska Native,3.8,12/2/2023,0
2023,48,Overall,Overall,Overall,2.1,12/2/2023,1
2023,48,Overall,Male,Overall,1.9,12/2/2023,0
2023,48,Overall,Female,Overall,2.3,12/2/2023,0
2023,49,Overall,Overall,White,2.2,12/9/2023,0
2023,49,Overall,Overall,Black,5.6,12/9/2023,0
2023,49,Overall,Overall,Hispanic/Latino,2.2,12/9/2023,0
2023,49,Overall,Overall,Asian/Pacific Islander,1.5,12/9/2023,0
2023,49,Overall,Overall,American Indian/Alaska Native,4.9,12/9/2023,0
2023,49,Overall,Overall,Overall,2.9,12/9/2023,1
2023,49,Overall,Female,Overall,3.1,12/9/2023,0
